year,sockeye,coho,pink,chum,area
1914,653509.00,55193.00,224906.00,NA,prince.william.sound
1915,976453.00,19013.00,465250.00,2175.00,prince.william.sound
1916,983130.00,217951.00,3316352.00,45985.00,prince.william.sound
1917,1305329.00,249042.00,2599408.00,370309.00,prince.william.sound
1918,1914469.00,254844.00,4308779.00,1342576.00,prince.william.sound
1919,1621117.00,203033.00,1008312.00,558522.00,prince.william.sound
1920,1146861.00,227167.00,5314747.00,260963.00,prince.william.sound
1921,783529.00,9693.00,12644.00,3499.00,prince.william.sound
1922,777690.00,8962.00,2421272.00,50517.00,prince.william.sound
1923,988286.00,51612.00,2447766.00,111582.00,prince.william.sound
1924,1036433.00,191350.00,8396087.00,385274.00,prince.william.sound
1925,310056.00,294802.00,4085310.00,780960.00,prince.william.sound
1926,406078.00,309056.00,11153883.00,587351.00,prince.william.sound
1927,459409.00,669166.00,6124911.00,655159.00,prince.william.sound
1928,714935.00,494676.00,8034200.00,468260.00,prince.william.sound
1929,1232961.00,249955.00,9613500.00,1282150.00,prince.william.sound
1930,1037002.00,705444.00,6776860.00,979800.00,prince.william.sound
1931,919570.00,146999.00,4860083.00,560271.00,prince.william.sound
1932,1086075.00,99856.00,3466435.00,350895.00,prince.william.sound
1933,755832.00,171801.00,3030586.00,285824.00,prince.william.sound
1934,1135529.00,100331.00,6792072.00,261479.00,prince.william.sound
1935,286770.00,113279.00,2618185.00,471050.00,prince.william.sound
1936,1065976.00,43783.00,9581539.00,218550.00,prince.william.sound
1937,1161270.00,105597.00,3334462.00,227468.00,prince.william.sound
1938,883856.00,52735.00,7547696.00,250224.00,prince.william.sound
1939,754277.00,43061.00,2078528.00,273053.00,prince.william.sound
1940,512160.00,318561.00,11542576.00,532327.00,prince.william.sound
1941,518959.00,613582.00,3785693.00,507538.00,prince.william.sound
1942,658618.00,773626.00,7003688.00,702472.00,prince.william.sound
1943,865458.00,259056.00,10815321.00,475877.00,prince.william.sound
1944,910554.00,359826.00,8346755.00,1208587.00,prince.william.sound
1945,999603.00,368001.00,11632238.00,1754087.00,prince.william.sound
1946,661140.00,442711.00,8026032.00,757173.00,prince.william.sound
1947,553489.00,344972.00,8077210.00,706189.00,prince.william.sound
1948,380846.00,301723.00,2460760.00,457618.00,prince.william.sound
1949,535172.00,288680.00,6089394.00,827665.00,prince.william.sound
1950,875036.00,220642.00,1850770.00,455947.00,prince.william.sound
1951,663599.00,248360.00,802998.00,549255.00,prince.william.sound
1952,1210640.00,228512.00,2167840.00,550754.00,prince.william.sound
1953,621532.00,66878.00,1996579.00,352760.00,prince.william.sound
1954,1105878.00,250341.00,12286.00,6344.00,prince.william.sound
1955,683750.00,228904.00,27072.00,4676.00,prince.william.sound
1956,738348.00,197582.00,4526585.00,507258.00,prince.william.sound
